Crop Name,Description,Temperature Range,Water Requirement,Growing Season,Soil Type and pH,Nutritional Information,Image Path or URL,Tips,Climate Condition,Soil Requirement,Growing Season,Yield Potential,,Maturity Timeline,Water Management,Nutrient Requirement,Pest and Disease Awareness
Banana,"Banana is a tropical fruit that grows on large, herbaceous plants and requires warm conditions and abundant water. It flourishes in nutrient-rich soils where careful pest and disease management is practiced. The cropâ€™s continuous production cycle supports year-round availability. Global demand and its versatility in both fresh consumption and processed forms ensure profitability for growers.",26-30�C,Very high; abundant rainfall or irrigation,"Year-round (with peak in warm, rainy periods)","Rich, well-drained alluvial or loamy soils; pH 5.5â€“7.0","High in carbohydrates, potassium, vitamin B6 & C",D:\Project\new\crop details images\banana.jpg,"Use rich, well-drained soil. Provide consistent and ample irrigation. Protect plants with windbreaks. Remove dead leaves and apply organic manure.",Tropical,Loamy,Perennial,20000,,N/A,High (2000 mm),"N:150, P:60, K:120","Susceptible to Panama disease, Sigatoka"
Mango,"Mango is a tropical stone fruit celebrated for its sweet, aromatic flavor and lush, vibrant color. It flourishes in warm climates with well-drained soils and benefits from regular pruning to maintain tree health. The long-lived trees require attentive care during both flowering and fruiting periods. High market demand, diverse varieties, and export potential make mango cultivation very attractive.",24-30�C,Moderate to high; 800â€“1500 mm/year,"Flowers in winter; fruit set in summer, harvested in autumn",Sandy loam; pH 5.5â€“7.5,"Rich in vitamins A & C, fiber, and antioxidants",D:\Project\new\crop details images\mango.jpg,"Plant in sunny, well-drained sandy loam. Prune to improve air circulation. Apply balanced fertilizers during fruit development. Protect young trees from pests and extreme weather.",Tropical,Sandy,Perennial,8000,,N/A,Moderate (1000 mm),"N:80, P:40, K:60","Susceptible to anthracnose, powdery mildew"
Grapes,"Grapes are a fruit crop with wide applications, ranging from fresh consumption to wine production and raisin processing. They prefer sunny climates and fertile, well-drained soils, which are essential for high-quality fruit production. Vine training and regular pruning are important to ensure optimal yield and fruit quality. Their strong market potential in local and international markets makes them a valuable crop for growers.",15-30�C,Moderate; drought tolerant once established,Spring to early summer (flowering in late spring; harvest in late summer/early autumn),"Well-drained, sandy loam or calcareous soils; pH 6.0â€“7.0","Good source of antioxidants (e.g., resveratrol), vitamins C & K",D:\Project\new\crop details images\grapes.jpg,Choose disease-resistant varieties with trellising support. Prune regularly to manage vine growth. Ensure consistent irrigation and drainage. Control pests and maintain proper canopy management.,Temperate,Loamy,Perennial,5000,,N/A,Low (500 mm),"N:70, P:30, K:50","Susceptible to powdery mildew, downy mildew"
Watermelon,Watermelon is a refreshing fruit popular in warm seasons due to its high water content and sweet taste. It grows best in warm climates with a consistent water supply and proper nutrient management. Adequate spacing and careful cultivation practices are key to achieving optimum fruit size and quality. Its seasonal demand and high yield potential contribute to its profitability on the farm.,24-30�C,High during fruit development; 300â€“500 mm effective moisture,Warm season (sown in late spring; harvest in summer),Sandy loam with excellent drainage; pH 6.0â€“7.5,"High water content, vitamins A & C; low calorie",D:\Project\new\crop details images\watermelon.jpg,"Sow in warm, sandy loam with good drainage. Provide ample water during fruit set. Thin seedlings to ensure proper spacing. Use mulch to conserve moisture and control weeds.",Tropical,Sandy,Kharif,12000,,80,High (800 mm),"N:80, P:40, K:60","Susceptible to fusarium wilt, powdery mildew"
Muskmelon,"Muskmelon is an aromatic, sweet fruit characterized by its juicy flesh and pleasant flavor. It thrives in warm, sunny conditions and sandy loam soils that promote healthy growth. Timely irrigation and effective pest control are essential for maintaining quality yields. Its popularity in local markets and suitability for diverse culinary uses support a profitable harvest.",25-35�C,Moderate; similar to watermelon,Warm season (sown in late spring; harvested in summer),Sandy loam; pH 6.0â€“7.5,"Rich in vitamins A & C, fiber, and antioxidants",D:\Project\new\crop details images\musk-melon.jpg,"Plant in well-drained, sandy loam soil. Maintain consistent moisture with regular irrigation. Ensure full sun exposure. Thin plants for optimal fruit development.",Tropical,Sandy,Kharif,10000,,80,High (800 mm),"N:80, P:40, K:60","Susceptible to aphids, powdery mildew"
Apple,Apple is a temperate fruit grown in a wide range of cultivars that require cool climates and well-drained soils. The trees benefit from careful pruning and vigilant pest management to ensure healthy growth. Consistent irrigation and timely interventions during growing seasons are crucial for maintaining fruit quality. Its broad consumption base and export potential make apple cultivation a lucrative endeavor.,10-25�C,Moderate; 500â€“1000 mm/year,Temperate (flower in spring; harvest in autumn),"Loamy, well-drained; pH 6.0â€“7.0","High in fiber, vitamin C, and various antioxidants",D:\Project\new\crop details images\apple.jpg,"Choose disease-resistant varieties. Plant in fertile, well-drained soil with proper pH. Prune annually to maintain tree structure. Protect young trees from frost and pests.",Temperate,Loamy,Perennial,1500,,N/A,Moderate (600 mm),"N:80, P:40, K:60","Susceptible to apple scab, fire blight"
Orange,"Orange is a citrus fruit prized for its bright flavor and high vitamin C content. It thrives in subtropical climates with sandy, well-drained soils that promote healthy tree growth. Regular pruning, fertilization, and disease control measures are necessary to sustain productivity. Its steady demand in both fresh fruit and juice markets underscores its importance as a cash crop.",15-28�C,Moderate to high; 1000â€“1500 mm/year,Subtropical (flower in spring; harvest in winter),Sandy loam; pH 5.5â€“7.5,"Excellent source of vitamin C, fiber, and antioxidants",D:\Project\new\crop details images\Oranges.jpg,"Use well-drained, sandy loam soils. Provide consistent, moderate irrigation. Apply organic compost for fertility. Monitor and manage citrus pests and diseases.",Subtropical,Loamy,Perennial,2000,,N/A,Moderate (700 mm),"N:80, P:40, K:60","Susceptible to citrus canker, greening"
Papaya,"Papaya is a tropical fruit known for its rapid growth and high nutritional value. It prefers warm climates and fertile, well-drained soils, which help support its fast maturation. Proper spacing and disease management practices are critical to maximizing yield throughout the year. Its year-round fruiting and rising market demand make it an attractive option for tropical farmers.",24-32�C,High; consistent moisture; 1000â€“1500 mm/year,"Tropical (produces year-round, with peak growth in warm months)",Sandy loam; pH 6.0â€“7.5,"Rich in vitamins C & A, folate, and digestive enzyme papain",D:\Project\new\crop details images\papaya.jpg,"Plant in full sun with rich, well-drained soil. Water regularly and avoid water stress. Mulch to conserve moisture and control weeds. Protect against pests and extreme winds.",Tropical,Loamy,Perennial,2500,,N/A,Moderate (700 mm),"N:100, P:50, K:70",Susceptible to papaya ringspot virus
Coconut,"Coconut is a versatile palm that offers multiple uses including food, fiber, and oil. It thrives in coastal and tropical regions with well-drained soils and consistent rainfall patterns. Minimal maintenance is required once established, ensuring year-long yields from mature groves. Its diverse applications and stable global market make coconut cultivation a sound long-term investment.",>25�C,Very high; thrives in heavy rainfall (1500â€“3000 mm/year),"Tropical (continuous production in warm, humid conditions)","Sandy, coastal soils; pH 5.0â€“7.0","High in healthy fats (medium-chain fatty acids), fiber, manganese",D:\Project\new\crop details images\coconut.jpeg,"Plant in sandy, well-drained coastal soils. Ensure a constant water supply while managing salinity. Maintain proper spacing for air circulation. Fertilize with organic matter and micronutrients.",Tropical,Sandy,Perennial,4000,,N/A,High (1500 mm),"N:100, P:50, K:70",Susceptible to lethal yellowing
Cotton,"Cotton is a fiber crop that forms the backbone of the textile industry through its production of soft, breathable fabrics. It grows well in warm climates with moderate irrigation and fertile soils that support high yields. Effective pest management and timely harvesting are essential to maintain fiber quality. Its significant global demand in textiles ensures that cotton remains a profitable cash crop.",21-30�C,Moderate to high; 600â€“1000 mm/year,Warm season (sown in spring; harvested in fall),Well-drained sandy or clay loams; pH 6.0â€“8.0,Primarily a fiber crop; seeds yield oil rich in unsaturated fats and protein,D:\Project\new\crop details images\cotton.jpeg,"Use deep, well-drained soils. Maintain proper plant spacing for ventilation. Monitor closely for pests like bollworms. Apply balanced fertilizers and irrigate timely.",Tropical,Loamy,Kharif,800,,160,Moderate (600 mm),"N:100, P:50, K:50","Susceptible to bollworms, aphids"
Jute,"Jute is a natural fiber crop widely used in eco-friendly packaging and textile applications. It thrives in humid, tropical climates where abundant rainfall supports rapid growth. The cropâ€™s fast-growing nature and renewability make it an environmentally friendly choice for sustainable agriculture. Steady demand both locally and internationally helps secure its economic value.",25-35�C,High; requires 1500â€“2000 mm/year,Rainy season (typically Juneâ€“September),Deep alluvial or loamy soils; pH 5.5â€“7.5,Mainly grown for fiber; young leaves may be eaten but are low in nutritional value,D:\Project\new\crop details images\jute.jpg,"Plant in fertile, well-drained alluvial soils. Ensure ample moisture through rain or irrigation. Practice timely weeding and pest control. Use organic compost to enhance soil fertility.",Tropical,Clay,Kharif,2500,,90,High (1500 mm),"N:60, P:30, K:30",Susceptible to fungal diseases
Coffee,"Coffee is a high-value cash crop cherished for its rich flavor and distinct aroma. It is best grown in tropical climates with well-drained, acidic soils and partial shade, which are critical for high-quality bean development. Careful management of pests, diseases, and optimal ripening is essential for maintaining quality and yield. The robust global specialty market and consistent consumer demand make coffee a lucrative option for growers.",18-24�C,High; requires 1500â€“2000 mm/year,Tropical highlands (flower in autumn; harvest in winterâ€“spring),"Rich, well-drained, slightly acidic soils; pH 6.0â€“6.5",Low in macronutrients; prized for caffeine and antioxidants (chlorogenic acids),D:\Project\new\crop details images\coffee.jpg,"Plant in rich, well-drained, slightly acidic soils. Provide partial shade for Arabica varieties. Maintain consistent moisture without waterlogging. Prune regularly to improve air circulation and remove dead wood.",Tropical,Loamy,Perennial,600,,N/A,High (1200 mm),"N:80, P:40, K:50","Susceptible to coffee leaf rust, berry disease"
